Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animals,Strain,SlpES,SlpV,IntES,IntV
Comp0640,Exp0323,Paper194,Masoro,1989,AM J CLIN NUTR,49,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.211056052,0.100749797,-0.825476848,0.47009342
Comp0155,Exp0087,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.206717762,0.097244931,-0.443406326,0.45212571
Comp0107,Exp0051,Paper063,Lin,2000,SCIENCE,289,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,PSY316,-0.206112,0.09842,0.0636176,0.4474368
Comp0276,Exp0147,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.20392,0.02812,0.378843077,0.122427692
Comp0085,Exp0039,Paper057,Jiang,2000,FASEB J,14,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,YPK9,-0.20289509,0.203744859,-1.343710029,0.9536517
Comp0219,Exp0113,Paper087,Tain,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.201972145,0.030743733,-0.483913649,0.14121727
Comp0160,Exp0090,Paper077,Vigne,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.20121203,0.05366015,1.174297744,0.138745865
Comp0240,Exp0128,Paper099,Shimokawa,1993,J GERONTOL A-BIOL,48,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.198628571,0.026742857,-0.493990476,0.126615873
Comp0118,Exp0055,Paper066,Min,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.1985,0.0225,-0.800774194,0.105967742
Comp0082,Exp0036,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,YPK9,-0.198473402,0.161247206,-1.084984354,0.763303532
Comp0374,Exp0205,Paper150,Black,2003,AM J PHYSIOL-REG I,284,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.195316931,0.092574646,-0.857449541,0.454376147
Comp0139,Exp0071,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,-0.191916218,0.105249808,-0.802439662,0.492867025
Comp0074,Exp0030,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.1895,0.0615,-0.64621374,0.288251908
Comp0576,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,-0.189335025,0.033477157,-0.668847716,0.159974619
Comp0145,Exp0077,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.185612732,0.090739169,-0.248549072,0.419826702
Comp0214,Exp0110,Paper085,Yamaki,2005,BIOSCI BIOTECH BIOCH,69,Spp002,Mouse,Mus,musculus,Mus_musculus,ICR,-0.184000571,0.1465751,0.126762993,0.660587664
Comp0295,Exp0151,Paper115,Mizutani,1994,J NUTR,124,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.183028261,0.137991304,0.080006522,0.654165217
Comp0411,Exp0228,Paper158,Sheldon,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.182662519,0.109499222,-0.867583204,0.511520995
Comp0404,Exp0221,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-B,-0.1735,0.024,-0.384214286,0.113142857
Comp0380,Exp0210,Paper152,Burger,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.1685,0.0015,-0.363333333,0.007
Comp0234,Exp0122,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Lobund-Wistar,-0.167546875,0.068998438,-0.7134375,0.316375
Comp0069,Exp0027,Paper050,Forster,2003,FASEB J,17,Spp002,Mouse,Mus,musculus,Mus_musculus,DBA/2,-0.165929329,0.023431095,0.599212014,0.096879859
Comp0315,Exp0162,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.165582017,0.068742406,-1.33582503,0.324076549
Comp0153,Exp0085,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344xBNF1,-0.164155989,0.119988858,-1.119328691,0.565169916
Comp0482,Exp0265,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.162684449,0.076249716,-0.564874007,0.355505108
Comp0409,Exp0226,Paper157,Blackwell,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.160936893,0.101997573,-0.818563107,0.487747573
Comp0108,Exp0052,Paper064,Lin,2002,NATURE,418,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,PSY316,-0.151863777,0.107996904,-0.240560372,0.501213622
Comp0414,Exp0231,Paper159,Thurman,1994,TOXICOL PATHOL,22,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.151810667,0.100997333,-0.633501333,0.480709333
Comp0122,Exp0058,Paper069,Pugh,1999,CANCER RES,59,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.139203125,0.072995536,-0.662765625,0.343888393
Comp0141,Exp0073,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6-NIH,-0.138701039,0.095740208,-0.692526779,0.454253397
Comp0068,Exp0026,Paper049,Fernandes,1997,J CLIN IMMUNOL,17,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344xBNF1,-0.135937778,0.203696566,-1.443546667,0.966869091
Comp0265,Exp0139,Paper105,Sell,2000,FASEB J,14,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.132802706,0.185725447,-0.868433872,0.87854605
Comp0099,Exp0046,Paper060,Le Bourg,1996,J GERONTOL A-BIOL,51,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Meyzieu,-0.131617834,0.121866242,0.388369427,0.505464058
Comp0212,Exp0108,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.127898653,0.122722899,-1.109568954,0.583887749
Comp0644,Exp0325,Paper195,Nolen,1972,J NUTR,102,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Simonsen,-0.124429017,0.10249298,-0.521159126,0.483772231
Comp0350,Exp0187,Paper136,Holloszy,1991,J APPL PHYSIOL,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Long-Evans,-0.122858967,0.136708067,-1.096172954,0.651771329
Comp0376,Exp0207,Paper151,Bhandari,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,w[cs],-0.087456464,0.030733509,-1.143058047,0.147081794
Comp0149,Exp0081,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,D2,-0.082204887,0.096976504,-0.574240602,0.455887218
Comp0333,Exp0175,Paper129,Lee,2004,FREE RADICAL BIO MED,36,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.077453258,0.074730878,-0.387146364,0.359027384
Comp0110,Exp0053,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.077,0.0095,-0.262436364,0.044218182
Comp0306,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,-0.071748264,0.105413194,-0.680979167,0.5215
Comp0310,Exp0160,Paper123,Libert,2008,MOL IMMUNOL,45,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.068,0.008,-0.076142857,0.037714286
Comp0144,Exp0076,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344xBNF1,-0.067697211,0.09969243,-0.797653386,0.478401594
Comp0103,Exp0047,Paper061,Lee,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,fem-1(hc17),-0.06636107,0.054240713,-0.453007429,0.25710847
Comp0159,Exp0090,Paper077,Vigne,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.062081841,0.038212276,0.419657289,0.158734015
Comp0156,Exp0088,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,-0.059537538,0.101924925,-0.940659159,0.49233033
Comp0297,Exp0152,Paper114,Mizutani,1994,P NATL ACAD SCI USA,91,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.054159601,0.171306234,-1.22698005,0.855386035
Comp0636,Exp0321,Paper192,Lamming,2005,SCIENCE,309,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.050560413,0.119655131,-0.959581664,0.581272617
Comp0101,Exp0047,Paper061,Lee,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,fem-1(hc17),-0.045656051,0.078447983,-1.513687898,0.375458599
Comp0349,Exp0187,Paper136,Holloszy,1991,J APPL PHYSIOL,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Long-Evans,-0.044736749,0.144309187,-1.244114252,0.696294464
Comp0342,Exp0180,Paper132,Koizumi,1996,MECH AGEING DEV,92,Spp002,Mouse,Mus,musculus,Mus_musculus,MRL/1,-0.044462762,0.18236459,-0.652004062,0.896973595
Comp0227,Exp0119,Paper092,Steinkraus,2008,AGING CELL,7,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.043866033,0.188343993,-1.318189283,0.906072602
Comp0028,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.043787185,0.074400458,0.516610984,0.306437071
Comp0120,Exp0056,Paper067,Panowski,2007,NATURE,447,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.042383387,0.101903355,-1.216214058,0.491204473
Comp0134,Exp0066,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,PS2025,-0.041430322,0.053081164,-1.430346095,0.262355283
Comp0293,Exp0151,Paper115,Mizutani,1994,J NUTR,124,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.040847134,0.172235669,-1.321700637,0.863469378
Comp0271,Exp0143,Paper109,Muzumdar,2008,AGING CELL,7,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,WT_rat,-0.037225316,0.094156962,-1.375313924,0.455211814
Comp0142,Exp0074,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.03516543,0.112874629,-1.29360089,0.543890208
Comp0026,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.0325625,0.007989583,-1.482875,0.038625
Comp0358,Exp0193,Paper142,Garcia,2008,MECH AGEING DEV,129,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.031778599,0.172601131,-0.625793823,0.837110918
Comp0102,Exp0047,Paper061,Lee,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,fem-1(hc17),-0.028769231,0.0672,-1.143467456,0.323502959
Comp0402,Exp0219,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-D,-0.011317518,0.021485401,-0.274788321,0.103437956
Comp0600,Exp0124,Paper095,Shimokawa,1991,J GERONTOL A-BIOL,46,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.010741021,0.048170132,0.152557656,0.215069943
Comp0027,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.009790991,0.086634234,-0.415210811,0.448897297
Comp0215,Exp0110,Paper085,Yamaki,2005,BIOSCI BIOTECH BIOCH,69,Spp002,Mouse,Mus,musculus,Mus_musculus,ICR,-0.007,0.1325,0.00625958,0.619097651
Comp0210,Exp0106,Paper083,Wolf,2000,EXP EYE RES,70,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.005958092,0.1115951,-1.177430045,0.547989684
Comp0270,Exp0142,Paper108,Murakami,2008,J GERONTOL A-BIOL,63,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.004036805,1.502302353,-2.078899092,7.293369324
Comp0641,Exp0324,Paper195,Nolen,1972,J NUTR,102,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Simonsen,-0.002005743,0.105099067,-0.931043073,0.514072505
Comp0274,Exp0146,Paper111,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.001371134,0.007226804,0.341154639,0.031886598
Comp0112,Exp0053,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.005,0.009,-0.099125,0.041625
Comp0619,Exp0147,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.0064739,0.073202661,1.082560901,0.134103378
Comp0642,Exp0324,Paper195,Nolen,1972,J NUTR,102,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Simonsen,0.011095494,0.118544048,-1.259772697,0.578813046
Comp0260,Exp0134,Paper103,Pendergrass,1995,EXP CELL RES,217,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,0.016515385,0.115792308,-1.296451282,0.569958974
Comp0096,Exp0045,Paper060,Le Bourg,1996,J GERONTOL A-BIOL,51,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Meyzieu,0.017449682,0.105375159,-0.33546242,0.519117197
Comp0211,Exp0107,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,0.019531808,0.09557827,-0.815634024,0.474363117
Comp0157,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,0.020282389,0.10703879,-0.627235842,0.521727696
Comp0158,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,0.020429664,0.106779052,-0.674856269,0.521978593
Comp0352,Exp0189,Paper138,Holloszy,1997,J APPL PHYSIOL,82,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Long-Evans,0.025006557,0.088839344,-1.330239344,0.438216393
Comp0117,Exp0055,Paper066,Min,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.029646552,0.01299569,0.052896552,0.06362069
Comp0087,Exp0041,Paper058,Kabil,2007,BIOGERONTOLOGY,8,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.035027027,0.076594595,-0.814632197,0.370143361
Comp0305,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,0.036069505,0.10194179,-0.810984361,0.513045178
Comp0320,Exp0164,Paper125,Lin,2004,GENE DEV,18,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,PSY316,0.03785257,0.118572873,-0.614600674,0.562916596
Comp0473,Exp0258,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.038541041,0.27520503,-0.778205728,1.318899057
Comp0113,Exp0054,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.041663462,0.007990385,-0.235442308,0.038884615
Comp0476,Exp0259,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.045050317,0.19721945,-0.062435941,0.93165074
Comp0119,Exp0055,Paper066,Min,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.046438272,0.023950617,-1.472635802,0.118320988
Comp0025,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,0.0483207,0.026661808,-0.274760933,0.132620991
Comp0128,Exp0060,Paper071,Smith,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,0.051700078,0.104693862,-0.127655012,0.500888112
Comp0236,Exp0124,Paper095,Shimokawa,1991,J GERONTOL A-BIOL,46,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,0.056431341,0.05557189,-1.07101454,0.271387722
Comp0403,Exp0220,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-O,0.057971098,0.027427746,-1.139624277,0.135289017
Comp0339,Exp0178,Paper131,Kaeberlein,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,0.069913522,0.145882075,-2.406643606,0.705658281
Comp0571,Exp0291,Paper189,Grandison,2009,NATURE,462,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.071767068,0.063572959,-1.516690763,0.31142838
Comp0132,Exp0064,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,Ju262,0.076402142,0.092484907,-1.685295034,0.450262902
Comp0221,Exp0114,Paper088,Tanaka,2002,ARCH GERONTOL GERIAT,35,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Donyru,0.080408277,0.182629129,-1.717452845,0.916272583
Comp0464,Exp0253,Paper172,Zha,2008,AM J NEPHROL,28,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Wistar,0.084039251,0.155267914,-0.841100867,0.779052487
Comp0037,Exp0013,Paper017,Yoshida,1997,P NATL ACAD SCI USA,94,Spp002,Mouse,Mus,musculus,Mus_musculus,C3H/HeNirMs,0.085282209,0.040188139,-0.297331288,0.195128834
Comp0165,Exp0092,Paper077,Vigne,2007,EXP GERONTOL,42,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,0.087344595,0.06127027,0.660689189,0.181081081
Comp0314,Exp0162,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.100718808,0.044115456,-0.541627561,0.217523277
Comp0036,Exp0013,Paper017,Yoshida,1997,P NATL ACAD SCI USA,94,Spp002,Mouse,Mus,musculus,Mus_musculus,C3H/HeNirMs,0.101309859,0.027664789,-0.468746479,0.137292958
Comp0545,Exp0283,Paper183,Mair,2009,PLOS ONE,4,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,0.10240675,0.079212256,-0.943239787,0.399730018
Comp0111,Exp0053,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.103106557,0.009467213,-0.84447541,0.047163934
Comp0581,Exp0018,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.117058252,0.009728155,-0.340873786,0.046834951
Comp0197,Exp0098,Paper079,Weindruch,1982,SCIENCE,215,Spp002,Mouse,Mus,musculus,Mus_musculus,B10C3F1,0.121919592,0.071441676,-0.858079275,0.356469989
Comp0106,Exp0050,Paper062,Libert,2007,SCIENCE,315,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.123401434,0.021641577,-1.238523297,0.109103943
Comp0319,Exp0163,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.124123077,0.068284615,-2.084021978,0.340582418
Comp0574,Exp0292,Paper189,Grandison,2009,NATURE,462,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.124551227,0.052024531,-1.180070707,0.262050505
Comp0093,Exp0044,Paper060,Le Bourg,1996,J GERONTOL A-BIOL,51,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Meyzieu,0.12528125,0.098929688,-0.12875,0.4725
Comp0109,Exp0053,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.136705263,0.008726316,-0.378305263,0.042326316
Comp0398,Exp0215,Paper154,Cai,2008,AM J PATHOL,173,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,0.143496585,0.230637073,-1.141850732,1.166162927
Comp0239,Exp0127,Paper098,Shimokawa,2003,FASEB J,17,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Wistar,0.149724138,0.149551724,-0.988463176,0.770290762
Comp0633,Exp0318,Paper191,Medvedik,2007,PLOS BIOL,5,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,0.167295295,0.154362899,-1.312854516,0.774355327
Comp0347,Exp0185,Paper135,Ikeno,2005,J GERONTOL A-BIOL,60,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,0.175034215,0.190948678,-1.379244168,0.97140902
Comp0407,Exp0224,Paper156,Christian,1998,DRUG CHEM TOXICOL,21,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,0.188207254,0.04533506,-1.019476684,0.23383247
Comp0371,Exp0203,Paper148,Armeni,2003,J BIOENERG BIOMEMBR,35,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Wistar,0.198652863,0.598551729,-1.642730491,3.018858412
Comp0317,Exp0163,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.206134766,0.038763672,-0.528179688,0.19746875
Comp0181,Exp0095,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,0.209371429,0.061307937,0.647114286,0.167326984
Comp0304,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,0.213421053,0.057263158,-1.298200569,0.292668563
Comp0043,Exp0018,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.221764706,0.011647059,-1.147663866,0.057932773
Comp0480,Exp0263,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.227497368,0.18807193,-0.364907895,0.940114035
Comp0369,Exp0201,Paper146,Dhahbi,2004,P NATL ACAD SCI USA,101,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,0.231652136,0.079137751,-1.237814298,0.412380994
Comp0269,Exp0142,Paper108,Murakami,2008,J GERONTOL A-BIOL,63,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,0.235493153,0.97917399,-1.111627069,5.003473746
Comp0379,Exp0209,Paper151,Bhandari,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.25328764,0.035047191,-2.360973034,0.177249438
Comp0180,Exp0095,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,0.282782456,0.023207018,-0.294817544,0.113207018
Comp0399,Exp0216,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-O,0.290941176,0.023235294,-1.189686275,0.12169281
Comp0621,Exp0311,Paper125,Lin,2004,GENE DEV,18,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,PSY316,0.293527331,0.117581994,-1.236376206,0.595652733
Comp0643,Exp0325,Paper195,Nolen,1972,J NUTR,102,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Simonsen,0.297023117,0.093256525,-1.318754661,0.493256525
Comp0477,Exp0260,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.302928457,0.2404453,-1.292431184,1.257724735
Comp0587,Exp0296,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,0.306735443,0.060887342,-1.678741772,0.316197468
Comp0341,Exp0179,Paper132,Koizumi,1996,MECH AGEING DEV,92,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,0.308679563,0.166331349,-2.14569246,0.85465873
Comp0312,Exp0161,Paper123,Libert,2008,MOL IMMUNOL,45,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.310209302,0.011906977,-2.134674419,0.062046512
Comp0479,Exp0262,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.31122781,0.248919619,-1.098021714,1.266089143
Comp0634,Exp0319,Paper191,Kaeberlein,2005,PLOS GENET,1,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,PSY316AUT,0.312045633,0.141069185,-1.600748773,0.744715407
Comp0071,Exp0029,Paper050,Forster,2003,FASEB J,17,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,0.31986631,0.041898396,-1.629641711,0.207139037
Comp0370,Exp0202,Paper147,Armeni,1998,MECH AGEING DEV,121,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Wistar,0.338204918,0.39089676,-1.974491803,2.03736534
Comp0208,Exp0104,Paper083,Wolf,2000,EXP EYE RES,70,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,0.344632472,0.12122214,-1.838380812,0.621183764
Comp0235,Exp0123,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Lobund-Wistar,0.355972179,0.049100464,-1.580102009,0.259239567
Comp0225,Exp0117,Paper091,Turturro,2002,J GERONTOL A-BIOL,57,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6N,0.367587963,0.107638889,-1.995751543,0.558626543
